Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|02/01/2024|Vente|829530,00|43||RUE|2595|DE FRANCE|6000|NICE|06|88||KV|168||26||3||||||||2|3|Dépendance||0|0|||
|||||||000001|02/01/2024|Vente|829530,00|43||RUE|2595|DE FRANCE|6000|NICE|06|88||KV|168||26||3||||||||2|2|Appartement||74|2|||
|||||||000001|02/01/2024|Vente|829530,00|43||RUE|2595|DE FRANCE|6000|NICE|06|88||KV|168||26||3||||||||2|3|Dépendance||0|0|||
|||||||000001|08/01/2024|Vente|835000,00|12||AV|5025|DE PICARDIE|6000|NICE|06|88||LE|91||||||||||||0|1|Maison||186|6|S||710
|||||||000001|08/01/2024|Vente|835000,00|12||AV|5025|DE PICARDIE|6000|NICE|06|88||LE|91||||||||||||0|3|Dépendance||0|0|S||710
|||||||000001|08/01/2024|Vente|150000,00|2||RUE|5085|PIERRE PIETRI|6000|NICE|06|88||LT|172||2040||||||||||1|2|Appartement||28|2|||
|||||||000001|10/01/2024|Vente|50000,00|24||RUE|3235|HEROLD|6000|NICE|06|88||KY|158||211||||||||||1|3|Dépendance||0|0|||
|||||||000001|08/01/2024|Vente|232500,00|11||AV|0660|DES BAUMETTES|6000|NICE|06|88||KW|63||20||48||||||||2|3|Dépendance||0|0|||
|||||||000001|08/01/2024|Vente|232500,00|11||AV|0660|DES BAUMETTES|6000|NICE|06|88||KW|63||20||48||||||||2|2|Appartement||52|2|||
|||||||000001|08/01/2024|Vente|2229170,00|10||AV|2055|DOCTEUR MENARD|6000|NICE|06|88||LR|118||||||||||||0|3|Dépendance||0|0|S||605
|||||||000001|08/01/2024|Vente|2229170,00|10||AV|2055|DOCTEUR MENARD|6000|NICE|06|88||LR|118||||||||||||0|1|Maison||144|5|S||605
|||||||000001|05/01/2024|Vente|102000,00|66||BD|3820|DE LA MADELEINE|6000|NICE|06|88||MN|252||158||392||||||||2|3|Dépendance||0|0|||
|||||||000001|05/01/2024|Vente|102000,00|66||BD|3820|DE LA MADELEINE|6000|NICE|06|88||MN|252||158||392||||||||2|2|Appartement||25|1|||
|||||||000001|11/01/2024|Vente|370000,00|9||RUE|3170|HALEVY|6000|NICE|06|88||KT|340||28||||||||||1|2|Appartement||30|1|||
|||||||000001|08/01/2024|Vente|610000,00|58||BD|2630|FRANCOIS GROSSO|6000|NICE|06|88||KX|202||1||10||11||2||8||6|4|Local industriel. commercial ou assimilé||159|0|||
|||||||000001|04/01/2024|Vente|80000,00|145|B|RUE|2595|DE FRANCE|6000|NICE|06|88||MO|174||54|11,10|||||||||1|4|Local industriel. commercial ou assimilé||16|0|||
|||||||000001|04/01/2024|Vente|42000,00|185||BD|3820|DE LA MADELEINE|6000|NICE|06|88||MS|62||34||99|22,02|||||||2|4|Local industriel. commercial ou assimilé||24|0|||
|||||||000001|03/01/2024|Vente|260000,00|144||RUE|2595|DE FRANCE|6000|NICE|06|88||MO|442||6070||||||||||1|3|Dépendance||0|0|||
|||||||000001|03/01/2024|Vente|260000,00|144||RUE|2595|DE FRANCE|6000|NICE|06|88||MO|442||6740||||||||||1|2|Appartement||33|2|||
|||||||000001|04/01/2024|Vente|127500,00|3||RUE|4310|MIRON|6000|NICE|06|88||LB|326||106||||||||||1|2|Appartement||23|1|||
|||||||000001|12/01/2024|Vente|345000,00|4||RUE|3470|JOSEPH FRICERO|6000|NICE|06|88||KW|267||32||33||34||||||3|2|Appartement||45|2|||
