Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|03/09/2024|Vente|463985,00|2||AV|3650|SAINT NICOLAS|6400|CANNES|06|29||CR|174||161||255|63,79|||||||2|2|Appartement||64|3|||
|||||||000001|20/09/2024|Vente|587000,00|13||AV|2680|MONTROSE|6400|CANNES|06|29||DH|255||673|74,72|||||||||1|2|Appartement||75|3|||
|||||||000001|20/09/2024|Vente|587000,00|13||AV|2680|MONTROSE|6400|CANNES|06|29||DH|255||252||||||||||1|3|Dépendance||0|0|||
|||||||000001|20/09/2024|Vente|587000,00|13||AV|2680|MONTROSE|6400|CANNES|06|29||DH|255||253||||||||||1|3|Dépendance||0|0|||
|||||||000001|20/09/2024|Vente|587000,00|13||AV|2680|MONTROSE|6400|CANNES|06|29||DH|255||631||||||||||1|3|Dépendance||0|0|||
|||||||000001|15/02/2024|Adjudication|96000,00|1||RUE|3860|DE SUFFREN|6400|CANNES|06|29||CR|97||34||||||||||1|2|Appartement||25|1|||
|||||||000001|15/02/2024|Adjudication|96000,00|1||RUE|3860|DE SUFFREN|6400|CANNES|06|29||CR|97||9||||||||||1|3|Dépendance||0|0|||
|||||||000001|26/09/2024|Vente|1900000,00|22||RUE|1930|LATOUR-MAUBOURG|6400|CANNES|06|29||BX|80||157||222|80,01|||||||2|3|Dépendance||0|0|||
|||||||000001|26/09/2024|Vente|1900000,00|22||RUE|1930|LATOUR-MAUBOURG|6400|CANNES|06|29||BX|80||157||222|80,01|||||||2|2|Appartement||80|3|||
|||||||000001|26/09/2024|Vente|1900000,00|22||RUE|1930|LATOUR-MAUBOURG|6400|CANNES|06|29||BX|80||157||222|80,01|||||||2|3|Dépendance||0|0|||
|||||||000001|26/09/2024|Vente|1900000,00|74|A|BD|0880|DE LA CROISETTE|6400|CANNES|06|29||BX|83||45||||||||||1|3|Dépendance||0|0|||
|||||||000001|20/09/2024|Vente|290500,00|6||RUE|0990|DU DOCTEUR CALMETTE|6400|CANNES|06|29||CP|22||52||||||||||1|3|Dépendance||0|0|||
|||||||000001|20/09/2024|Vente|290500,00|6||RUE|0990|DU DOCTEUR CALMETTE|6400|CANNES|06|29||CP|22||160|52,75|||||||||1|2|Appartement||52|2|||
