Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|21/08/2024|Vente|4800000,00|4||RUE|1340|FREDERIC AMOURETTI|6400|CANNES|06|29||BX|192||112|41,09|||||||||1|2|Appartement||43|1|||
|||||||000001|18/09/2024|Vente|160000,00|20||AV|1260|DE LA FLOTTE|6400|CANNES|06|29||CZ|121||135|49,02|||||||||1|2|Appartement||50|2|||
|||||||000001|18/09/2024|Vente|160000,00|20||AV|1260|DE LA FLOTTE|6400|CANNES|06|29||CZ|121||119||||||||||1|3|Dépendance||0|0|||
|||||||000001|10/09/2024|Vente|100000,00|2||PL|3825|STANISLAS|6400|CANNES|06|29||AW|56||312||||||||||1|3|Dépendance||0|0|||
|||||||000001|10/09/2024|Vente|100000,00|2||PL|3825|STANISLAS|6400|CANNES|06|29||AW|56||294||||||||||1|3|Dépendance||0|0|||
|||||||000001|27/08/2024|Vente|617000,00|113||AV|2347|DU MARECHAL JUIN|6400|CANNES|06|29||CK|150||25|107,22|43||||||||2|3|Dépendance||0|0|||
|||||||000001|27/08/2024|Vente|617000,00|113||AV|2347|DU MARECHAL JUIN|6400|CANNES|06|29||CK|150||25|107,22|43||||||||2|2|Appartement||113|3|||
|||||||000001|27/08/2024|Vente|617000,00|113||AV|2347|DU MARECHAL JUIN|6400|CANNES|06|29||CK|150||79||||||||||1|3|Dépendance||0|0|||
|||||||000001|27/08/2024|Vente|617000,00|113||AV|2347|DU MARECHAL JUIN|6400|CANNES|06|29||CK|150||25|107,22|43||||||||2|3|Dépendance||0|0|||
|||||||000001|28/08/2024|Vente|160000,00|7||BD|3400|DU RIOU|6400|CANNES|06|29||AZ|169||48||||||||||1|3|Dépendance||0|0|||
|||||||000001|28/08/2024|Vente|160000,00|7||BD|3400|DU RIOU|6400|CANNES|06|29||AZ|169||46|73,48|47||||||||2|3|Dépendance||0|0|||
|||||||000001|28/08/2024|Vente|160000,00|7||BD|3400|DU RIOU|6400|CANNES|06|29||AZ|169||46|73,48|47||||||||2|2|Appartement||72|4|||
|||||||000001|18/09/2024|Vente|116000,00|4||RUE|2790|DU ONZE NOVEMBRE|6400|CANNES|06|29||CS|147||13|28,35|||||||||1|2|Appartement||28|1|||
|||||||000001|04/09/2024|Vente|120000,00|6||RUE|2450|MERLE|6400|CANNES|06|29||CP|69||53|21,39|||||||||1|2|Appartement||21|1|||
|||||||000001|16/09/2024|Vente|220000,00|9||RUE|1890|DU LAC|6400|CANNES|06|29||BN|69||1||||||||||1|3|Dépendance||0|0|||
|||||||000001|16/09/2024|Vente|220000,00|9||RUE|1890|DU LAC|6400|CANNES|06|29||BN|69||40|52,45|||||||||1|2|Appartement||49|1|||
|||||||000001|16/09/2024|Vente|220000,00|9||RUE|1890|DU LAC|6400|CANNES|06|29||BN|69||40|52,45|||||||||1|3|Dépendance||0|0|||
|||||||000001|13/09/2024|Vente|493500,00|45||BD|0880|DE LA CROISETTE|6400|CANNES|06|29||BX|95||115|31,00|||||||||1|2|Appartement||32|1|||
|||||||000001|18/09/2024|Vente|300000,00|113||BD|0600|CARNOT|6400|CANNES|06|29||BH|138||91|83,98|||||||||1|2|Appartement||84|4|||
|||||||000001|18/09/2024|Vente|300000,00|113||BD|0600|CARNOT|6400|CANNES|06|29||BH|138||66||||||||||1|3|Dépendance||0|0|||
|||||||000001|05/09/2024|Vente|15000,00|25||RUE|4200|DES VOSGES|6400|CANNES|06|29||AX|279||102||||||||||1|3|Dépendance||0|0|||
|||||||000001|16/09/2024|Vente|287100,00|9||RUE|1900|LACOUR|6400|CANNES|06|29||CH|258||686|32,19|||||||||1|2|Appartement||34|2|||
|||||||000001|16/09/2024|Vente|287100,00|9||RUE|1900|LACOUR|6400|CANNES|06|29||CH|258||372||||||||||1|3|Dépendance||0|0|||
|||||||000001|16/09/2024|Vente|287100,00|9||RUE|1900|LACOUR|6400|CANNES|06|29||CH|258||45||||||||||1|3|Dépendance||0|0|||
|||||||000001|10/09/2024|Vente|564000,00|181||AV|1560|DE GRASSE|6400|CANNES|06|29||AX|4||133||||||||||1|3|Dépendance||0|0|||
|||||||000001|10/09/2024|Vente|564000,00|181||AV|1560|DE GRASSE|6400|CANNES|06|29||AX|4||121||138|67,83|||||||2|3|Dépendance||0|0|||
|||||||000001|10/09/2024|Vente|564000,00|181||AV|1560|DE GRASSE|6400|CANNES|06|29||AX|4||121||138|67,83|||||||2|2|Appartement||75|2|||
|||||||000001|10/09/2024|Vente|564000,00|181||AV|1560|DE GRASSE|6400|CANNES|06|29||AX|4||121||138|67,83|||||||2|3|Dépendance||0|0|||
|||||||000001|10/09/2024|Vente|564000,00|181||AV|1560|DE GRASSE|6400|CANNES|06|29||AX|4||132||||||||||1|3|Dépendance||0|0|||
|||||||000001|10/09/2024|Vente|564000,00|181||AV|1560|DE GRASSE|6400|CANNES|06|29||AX|4||59||||||||||1|3|Dépendance||0|0|||
|||||||000001|30/08/2024|Vente|575000,00|11||AV|2890|DU PARC MADRID|6400|CANNES|06|29||CH|100||102||103||25|106,31|||||3|3|Dépendance||0|0|||
|||||||000001|30/08/2024|Vente|575000,00|11||AV|2890|DU PARC MADRID|6400|CANNES|06|29||CH|100||102||103||25|106,31|||||3|3|Dépendance||0|0|||
|||||||000001|30/08/2024|Vente|575000,00|11||AV|2890|DU PARC MADRID|6400|CANNES|06|29||CH|100||102||103||25|106,31|||||3|3|Dépendance||0|0|||
|||||||000001|30/08/2024|Vente|575000,00|11||AV|2890|DU PARC MADRID|6400|CANNES|06|29||CH|100||102||103||25|106,31|||||3|2|Appartement||121|4|||
|||||||000001|29/08/2024|Vente|290000,00|72||AV|2347|DU MARECHAL JUIN|6400|CANNES|06|29||CH|288||122||||||||||1|3|Dépendance||0|0|||
|||||||000001|29/08/2024|Vente|290000,00|72||AV|2347|DU MARECHAL JUIN|6400|CANNES|06|29||CH|288||42|65,67|||||||||1|2|Appartement||76|3|||
|||||||000001|20/09/2024|Vente|35000,00|5||RUE|0726|CLAUDE PONS|6400|CANNES|06|29||CE|210||23||||||||||1|3|Dépendance||0|0|||
|||||||000001|05/09/2024|Vente|21000,00|1||RUE|2570|MIREILLE|6400|CANNES|06|29||BL|208||93||||||||||1|3|Dépendance||0|0|||
|||||||000001|03/09/2024|Vente|399000,00|1||AV|0130|DES ANGLAIS|6400|CANNES|06|29||CZ|111||148||480|71,01|||||||2|2|Appartement||70|3|||
